找 人 请 敲门,0,0.0,0.0,0.0
找 我 什么 事,0,0.0,0.0,0.0
抱 大腿,12,46.0,1.0,0.0
抽屉 协议,1,50.0,1.0,0.0
拔 草,0,0.0,0.0,0.0
搞 事情,1,18.0,1.0,0.0
撒 狗 粮,1,87.0,1.0,0.0
撸 起 袖子 加油 干,47,41.659574468085104,1.0,0.0
放 空 自己,0,0.0,0.0,0.0
整 个 人 都 不 好 了,0,0.0,0.0,0.0
方 了,2,38.0,1.0,0.0
无 效 退 款,0,0.0,0.0,0.0
无论如何,477,30.830188679245282,1.0,0.0
日新月异,1534,34.60625814863103,1.0,0.0
日积月累,286,35.5,1.0,0.0
时 好 时 坏,4,25.75,1.0,0.0
时 断 时 续,0,0.0,0.0,0.0
时隐时现,73,37.63013698630137,1.0,0.0
是 地方,395,33.086075949367086,1.0,0.0
是 时候,193,29.93782383419689,1.0,0.0
是 这么 说,62,18.822580645161292,1.0,0.0
有两下子,0,0.0,0.0,0.0
有 多少 要 多少,3,26.333333333333332,1.0,0.0
有 完 没 完,1,18.0,1.0,0.0
来 袭,6,27.333333333333332,1.0,0.0
死 了 这 份 心,0,0.0,0.0,0.0
比 心,10,63.9,1.0,0.0
求 锤 得 锤,0,0.0,0.0,0.0
没 办法 的 事,7,26.428571428571427,1.0,0.0
没 的 说,5,21.2,1.0,0.0
没 谁 了,0,0.0,0.0,0.0
没 门,13,26.846153846153847,1.0,0.0
没有 办法 的 办法,3,42.0,1.0,0.0
泪 奔,2,27.0,1.0,0.0
海 了 去 了,1,18.0,1.0,0.0
混蛋 一 个,0,0.0,0.0,0.0
点 赞,3208,34.28491271820449,1.0,0.0
爱情 的 巨轮 说 沉 就 沉,0,0.0,0.0,0.0
牵 着 鼻子 走,111,39.88288288288288,1.0,0.0
狗熊 一 个,0,0.0,0.0,0.0
猪 猪 女孩,0,0.0,0.0,0.0
猪 精,3,49.333333333333336,1.0,0.0
用 心 看 世界,0,0.0,0.0,0.0
用脚投票,0,0.0,0.0,0.0
甩 锅,2,55.0,1.0,0.0
由于 时间 关系,2,27.5,1.0,0.0
男 才 女 貌,0,0.0,0.0,0.0
男欢女爱,3,31.333333333333332,1.0,0.0
男耕女织,9,27.88888888888889,1.0,0.0
真 是 的,2,18.0,1.0,0.0
真 是 的,2,18.0,1.0,0.0
真 有 你 的,2,10.0,1.0,0.0
种 草,11,37.81818181818182,1.0,0.0
窝囊 废 一 个,0,0.0,0.0,0.0
笑 喷,0,0.0,0.0,0.0
笨 到 姥姥 家 了,0,0.0,0.0,0.0
简直 了,0,0.0,0.0,0.0
算 了,288,38.40625,1.0,0.0
管 他 呢,2,10.0,1.0,0.0
管 得 太 宽 了,0,0.0,0.0,0.0
细 思 恐 极,0,0.0,0.0,0.0
给 跪 了,2,75.5,1.0,0.0
羡慕 嫉妒 恨,16,36.5,1.0,0.0
老 都 老 了,1,29.0,1.0,0.0
老 铁,0,0.0,0.0,0.0
老百姓 一 个,28,38.214285714285715,1.0,0.0
老虎 苍蝇 一起 打,16,47.5625,1.0,0.0
背 锅,0,0.0,0.0,0.0
自说自话,117,39.034188034188034,1.0,0.0
虐 狗,0,0.0,0.0,0.0
补 刀,1,12.0,1.0,0.0
要 啥 有 啥,8,33.0,1.0,0.0
要 啥 没 啥,6,34.166666666666664,1.0,0.0
要 多少 有 多少,0,0.0,0.0,0.0
话 是 这么 说,4,35.5,1.0,0.0
话 说 回来,51,27.254901960784313,1.0,0.0
说 了 算,747,35.63186077643909,1.0,0.0
说 多 了 都 是 泪,0,0.0,0.0,0.0
请 开始 你 的 表演,0,0.0,0.0,0.0
请 您 先 下 后 上,0,0.0,0.0,0.0
请 收 下 我 的 膝盖,0,0.0,0.0,0.0
谁 怕 谁,1,8.0,1.0,0.0
谁 说 不 是 呢,7,20.0,1.0,0.0
走 一 个,48,33.020833333333336,1.0,0.0
走 心,112,35.24107142857143,1.0,0.0
走 心,112,35.24107142857143,1.0,0.0
走 极端,1,32.0,1.0,0.0
躺 着 也 中枪,1,92.0,1.0,0.0
辣 眼睛,14,28.571428571428573,1.0,0.0
还 不 是,471,31.67515923566879,1.0,0.0
还 不 是 一 回 事,1,31.0,1.0,0.0
还 有 这 种 操作,1,55.0,1.0,0.0
还 说 呢,1,36.0,1.0,0.0
这 波 操作,1,60.0,1.0,0.0
这 题 我 会,0,0.0,0.0,0.0
这么 说,296,20.72635135135135,1.0,0.0
这样 一 来,0,0.0,0.0,0.0
违 者 必 究,0,0.0,0.0,0.0
